date,category,amount,description,payment_method,note,date_obj,month,day,weekday
2024-02-14,Groceries,2775,Supermarket,Card,,2024-02-14,2024-02,14,Wednesday
2024-02-15,Food & Dining,559,Lunch - Payment,Card,,2024-02-15,2024-02,15,Thursday
2024-02-16,Transport,44,Ola - Payment,Cash,,2024-02-16,2024-02,16,Friday
2024-02-16,Groceries,887,Groceries,Card,,2024-02-16,2024-02,16,Friday
2024-02-17,Groceries,2217,Weekly shopping,Cash,,2024-02-17,2024-02,17,Saturday
2024-02-17,Food & Dining,255,Dinner,UPI,,2024-02-17,2024-02,17,Saturday
2024-02-20,Entertainment,1532,Concert,UPI,,2024-02-20,2024-02,20,Tuesday
2024-02-20,Food & Dining,182,Takeout,Cash,,2024-02-20,2024-02,20,Tuesday
2024-02-20,Healthcare,1761,Gym,UPI,,2024-02-20,2024-02,20,Tuesday
2024-02-21,Transport,304,Uber,UPI,Weekly expense,2024-02-21,2024-02,21,Wednesday
2024-02-21,Groceries,662,Groceries - Payment,Card,,2024-02-21,2024-02,21,Wednesday
2024-02-22,Groceries,1829,Groceries - Expense,Card,,2024-02-22,2024-02,22,Thursday
2024-02-23,Education,1363,Online Course,UPI,,2024-02-23,2024-02,23,Friday
2024-02-23,Entertainment,1055,Movie - Expense,Cash,,2024-02-23,2024-02,23,Friday
2024-02-24,Food & Dining,1106,Dinner,UPI,,2024-02-24,2024-02,24,Saturday
2024-02-24,Food & Dining,215,Snacks,Card,,2024-02-24,2024-02,24,Saturday
2024-02-25,Education,4054,Books,Cash,,2024-02-25,2024-02,25,Sunday
2024-02-25,Healthcare,2283,Pharmacy,Card,,2024-02-25,2024-02,25,Sunday
2024-02-26,Groceries,2935,Vegetables,Card,,2024-02-26,2024-02,26,Monday
2024-02-26,Food & Dining,599,Snacks,Cash,,2024-02-26,2024-02,26,Monday
2024-02-26,Groceries,1567,Fruits,Cash,Weekly expense,2024-02-26,2024-02,26,Monday
2024-02-26,Bills & Utilities,785,Gas Bill - Purchase,Card,,2024-02-26,2024-02,26,Monday
2024-02-26,Education,1854,Online Course,Card,,2024-02-26,2024-02,26,Monday
2024-02-28,Food & Dining,376,Cafe,Card,,2024-02-28,2024-02,28,Wednesday
2024-02-28,Shopping,591,Flipkart,Card,,2024-02-28,2024-02,28,Wednesday
2024-02-29,Bills & Utilities,2378,Mobile Recharge - Payment,UPI,,2024-02-29,2024-02,29,Thursday
2024-02-29,Food & Dining,306,Lunch,UPI,,2024-02-29,2024-02,29,Thursday
2024-02-29,Food & Dining,165,Cafe,Cash,,2024-02-29,2024-02,29,Thursday
2024-03-01,Groceries,2788,Vegetables - Bill,Card,Monthly expense,2024-03-01,2024-03,1,Friday
2024-03-01,Healthcare,1239,Pharmacy,Card,,2024-03-01,2024-03,1,Friday
2024-03-02,Healthcare,682,Doctor,UPI,,2024-03-02,2024-03,2,Saturday
2024-03-02,Groceries,2973,Supermarket - Expense,Card,,2024-03-02,2024-03,2,Saturday
2024-03-02,Groceries,3820,Fruits,UPI,,2024-03-02,2024-03,2,Saturday
2024-03-02,Groceries,521,Weekly shopping,Card,,2024-03-02,2024-03,2,Saturday
2024-03-02,Food & Dining,541,Cafe - Expense,Cash,,2024-03-02,2024-03,2,Saturday
2024-03-03,Shopping,10198,Shoes,UPI,,2024-03-03,2024-03,3,Sunday
2024-03-03,Transport,414,Uber - Payment,Cash,,2024-03-03,2024-03,3,Sunday
2024-03-04,Groceries,2288,Weekly shopping,Card,,2024-03-04,2024-03,4,Monday
2024-03-06,Transport,390,Ola - Payment,UPI,,2024-03-06,2024-03,6,Wednesday
2024-03-08,Entertainment,320,OTT Subscription,Cash,Monthly expense,2024-03-08,2024-03,8,Friday
2024-03-08,Transport,231,Auto,Card,,2024-03-08,2024-03,8,Friday
2024-03-09,Shopping,1941,Shoes,Cash,,2024-03-09,2024-03,9,Saturday
2024-03-10,Transport,122,Fuel,Card,Weekly expense,2024-03-10,2024-03,10,Sunday
2024-03-11,Bills & Utilities,4873,Water - Bill,Cash,,2024-03-11,2024-03,11,Monday
2024-03-11,Shopping,8343,Clothes - Expense,Cash,,2024-03-11,2024-03,11,Monday
2024-03-11,Entertainment,191,Movie,Card,,2024-03-11,2024-03,11,Monday
2024-03-11,Bills & Utilities,931,Internet - Payment,Card,,2024-03-11,2024-03,11,Monday
2024-03-11,Food & Dining,249,Restaurant,Card,Weekly expense,2024-03-11,2024-03,11,Monday
2024-03-11,Education,4069,Books - Payment,UPI,,2024-03-11,2024-03,11,Monday
2024-03-12,Shopping,3366,Electronics,Card,,2024-03-12,2024-03,12,Tuesday
2024-03-12,Other,795,Repair,UPI,,2024-03-12,2024-03,12,Tuesday
2024-03-13,Shopping,1341,Electronics - Expense,Card,Weekly expense,2024-03-13,2024-03,13,Wednesday
2024-03-16,Other,806,Service,UPI,,2024-03-16,2024-03,16,Saturday
2024-03-17,Entertainment,459,Netflix,UPI,,2024-03-17,2024-03,17,Sunday
2024-03-17,Education,7200,Tuition,Card,,2024-03-17,2024-03,17,Sunday
2024-03-17,Transport,73,Taxi - Payment,Card,,2024-03-17,2024-03,17,Sunday
2024-03-17,Food & Dining,466,Dinner,UPI,,2024-03-17,2024-03,17,Sunday
2024-03-19,Other,114,Donation,UPI,,2024-03-19,2024-03,19,Tuesday
2024-03-19,Food & Dining,435,Cafe,Card,,2024-03-19,2024-03,19,Tuesday
2024-03-20,Shopping,3491,Electronics,Cash,,2024-03-20,2024-03,20,Wednesday
2024-03-20,Healthcare,955,Health Checkup,Cash,,2024-03-20,2024-03,20,Wednesday
2024-03-21,Transport,370,Taxi,UPI,,2024-03-21,2024-03,21,Thursday
2024-03-22,Entertainment,1155,OTT Subscription,UPI,Weekly expense,2024-03-22,2024-03,22,Friday
2024-03-22,Food & Dining,663,Snacks,Cash,,2024-03-22,2024-03,22,Friday
2024-03-23,Food & Dining,1181,Lunch,Card,Weekly expense,2024-03-23,2024-03,23,Saturday
2024-03-23,Food & Dining,658,Restaurant,Card,,2024-03-23,2024-03,23,Saturday
2024-03-23,Groceries,449,Weekly shopping,Card,,2024-03-23,2024-03,23,Saturday
2024-03-24,Other,1699,Gift,Cash,,2024-03-24,2024-03,24,Sunday
2024-03-24,Other,138,Repair,Card,,2024-03-24,2024-03,24,Sunday
2024-03-24,Transport,27,Taxi,Cash,,2024-03-24,2024-03,24,Sunday
2024-03-26,Transport,176,Auto,UPI,,2024-03-26,2024-03,26,Tuesday
2024-03-27,Transport,226,Ola - Bill,Card,,2024-03-27,2024-03,27,Wednesday
2024-03-28,Other,312,Gift,Card,,2024-03-28,2024-03,28,Thursday
2024-03-28,Entertainment,1179,Netflix,UPI,,2024-03-28,2024-03,28,Thursday
2024-03-28,Other,832,Donation - Purchase,Card,,2024-03-28,2024-03,28,Thursday
2024-03-28,Groceries,1975,Supermarket - Bill,Card,Urgent purchase,2024-03-28,2024-03,28,Thursday
2024-03-30,Bills & Utilities,4973,Mobile Recharge,UPI,,2024-03-30,2024-03,30,Saturday
2024-03-31,Groceries,571,Fruits - Purchase,UPI,,2024-03-31,2024-03,31,Sunday
2024-03-31,Transport,99,Fuel - Expense,Cash,,2024-03-31,2024-03,31,Sunday
2024-03-31,Transport,628,Taxi - Payment,UPI,,2024-03-31,2024-03,31,Sunday
2024-04-01,Groceries,1722,Fruits,UPI,,2024-04-01,2024-04,1,Monday
2024-04-01,Groceries,390,Fruits,UPI,,2024-04-01,2024-04,1,Monday
2024-04-03,Transport,411,Taxi,Card,,2024-04-03,2024-04,3,Wednesday
2024-04-03,Food & Dining,125,Lunch,Cash,Urgent purchase,2024-04-03,2024-04,3,Wednesday
2024-04-03,Transport,462,Auto - Purchase,Card,,2024-04-03,2024-04,3,Wednesday
2024-04-04,Healthcare,1091,Health Checkup,UPI,,2024-04-04,2024-04,4,Thursday
2024-04-04,Transport,150,Fuel,Cash,,2024-04-04,2024-04,4,Thursday
2024-04-05,Shopping,5043,Amazon,Card,,2024-04-05,2024-04,5,Friday
2024-04-05,Food & Dining,772,Snacks,Card,,2024-04-05,2024-04,5,Friday
2024-04-05,Groceries,2642,Supermarket - Payment,Card,,2024-04-05,2024-04,5,Friday
2024-04-05,Entertainment,1927,Movie,UPI,,2024-04-05,2024-04,5,Friday
2024-04-06,Transport,343,Bus,UPI,,2024-04-06,2024-04,6,Saturday
2024-04-08,Food & Dining,131,Coffee,UPI,,2024-04-08,2024-04,8,Monday
2024-04-08,Other,103,Donation,UPI,,2024-04-08,2024-04,8,Monday
2024-04-08,Groceries,677,Weekly shopping - Expense,UPI,,2024-04-08,2024-04,8,Monday
2024-04-09,Food & Dining,571,Snacks,Card,,2024-04-09,2024-04,9,Tuesday
2024-04-09,Groceries,1921,Supermarket,UPI,,2024-04-09,2024-04,9,Tuesday
2024-04-09,Other,310,Misc,UPI,,2024-04-09,2024-04,9,Tuesday
2024-04-09,Food & Dining,608,Snacks,Cash,,2024-04-09,2024-04,9,Tuesday
2024-04-09,Shopping,6966,Accessories,Card,,2024-04-09,2024-04,9,Tuesday
2024-04-09,Entertainment,1146,Spotify - Payment,UPI,,2024-04-09,2024-04,9,Tuesday
2024-04-10,Transport,211,Taxi,Cash,Urgent purchase,2024-04-10,2024-04,10,Wednesday
2024-04-10,Food & Dining,502,Coffee,Card,,2024-04-10,2024-04,10,Wednesday
2024-04-10,Food & Dining,153,Coffee,Card,,2024-04-10,2024-04,10,Wednesday
2024-04-12,Food & Dining,140,Restaurant - Payment,Card,,2024-04-12,2024-04,12,Friday
2024-04-13,Other,116,Donation,Cash,,2024-04-13,2024-04,13,Saturday
2024-04-13,Healthcare,2760,Medicine,UPI,,2024-04-13,2024-04,13,Saturday
2024-04-13,Groceries,4716,Fruits,Cash,,2024-04-13,2024-04,13,Saturday
2024-04-14,Food & Dining,100,Restaurant,UPI,,2024-04-14,2024-04,14,Sunday
2024-04-14,Bills & Utilities,4035,Gas Bill,Card,,2024-04-14,2024-04,14,Sunday
2024-04-15,Food & Dining,219,Restaurant,Cash,Weekly expense,2024-04-15,2024-04,15,Monday
2024-04-16,Shopping,810,Accessories,Cash,,2024-04-16,2024-04,16,Tuesday
2024-04-16,Bills & Utilities,2002,Water - Payment,Card,Urgent purchase,2024-04-16,2024-04,16,Tuesday
2024-04-16,Groceries,2038,Supermarket,UPI,,2024-04-16,2024-04,16,Tuesday
2024-04-17,Transport,61,Fuel,UPI,,2024-04-17,2024-04,17,Wednesday
2024-04-17,Bills & Utilities,4647,Gas Bill - Payment,Cash,,2024-04-17,2024-04,17,Wednesday
2024-04-17,Groceries,543,Groceries - Bill,Card,,2024-04-17,2024-04,17,Wednesday
2024-04-18,Entertainment,655,OTT Subscription,UPI,Urgent purchase,2024-04-18,2024-04,18,Thursday
2024-04-18,Shopping,7344,Shoes - Payment,Card,,2024-04-18,2024-04,18,Thursday
2024-04-18,Transport,125,Fuel,Card,Planned expense,2024-04-18,2024-04,18,Thursday
2024-04-19,Education,3771,Books,Card,,2024-04-19,2024-04,19,Friday
2024-04-20,Food & Dining,895,Snacks - Purchase,Net Banking,,2024-04-20,2024-04,20,Saturday
2024-04-21,Healthcare,688,Doctor,Card,,2024-04-21,2024-04,21,Sunday
2024-04-21,Transport,647,Uber,Cash,,2024-04-21,2024-04,21,Sunday
2024-04-22,Food & Dining,68,Lunch - Purchase,Card,,2024-04-22,2024-04,22,Monday
2024-04-22,Food & Dining,138,Takeout,Net Banking,,2024-04-22,2024-04,22,Monday
2024-04-22,Bills & Utilities,1363,Water - Bill,Card,,2024-04-22,2024-04,22,Monday
2024-04-22,Entertainment,762,Netflix,Card,,2024-04-22,2024-04,22,Monday
2024-04-23,Shopping,1410,Flipkart - Purchase,Cash,,2024-04-23,2024-04,23,Tuesday
2024-04-23,Other,620,Gift,UPI,Weekly expense,2024-04-23,2024-04,23,Tuesday
2024-04-23,Entertainment,482,OTT Subscription - Purchase,Cash,,2024-04-23,2024-04,23,Tuesday
2024-04-23,Food & Dining,423,Snacks,Card,,2024-04-23,2024-04,23,Tuesday
2024-04-23,Bills & Utilities,1596,Electricity - Bill,Cash,Weekly expense,2024-04-23,2024-04,23,Tuesday
2024-04-23,Groceries,1514,Fruits - Bill,UPI,,2024-04-23,2024-04,23,Tuesday
2024-04-24,Groceries,2285,Supermarket - Bill,UPI,,2024-04-24,2024-04,24,Wednesday
2024-04-25,Entertainment,1543,Movie - Bill,Card,,2024-04-25,2024-04,25,Thursday
2024-04-25,Transport,382,Bus - Expense,Card,,2024-04-25,2024-04,25,Thursday
2024-04-26,Shopping,6980,Clothes - Purchase,Card,,2024-04-26,2024-04,26,Friday
2024-04-26,Entertainment,1444,Concert - Payment,Net Banking,,2024-04-26,2024-04,26,Friday
2024-04-27,Transport,103,Bus,Card,Urgent purchase,2024-04-27,2024-04,27,Saturday
2024-04-27,Groceries,2289,Fruits,Card,,2024-04-27,2024-04,27,Saturday
2024-04-27,Transport,268,Fuel - Expense,Card,,2024-04-27,2024-04,27,Saturday
2024-04-30,Food & Dining,490,Dinner,UPI,,2024-04-30,2024-04,30,Tuesday
2024-04-30,Shopping,8032,Clothes - Payment,Cash,,2024-04-30,2024-04,30,Tuesday
2024-04-30,Groceries,2936,Groceries,Card,,2024-04-30,2024-04,30,Tuesday
2024-05-01,Transport,442,Metro,Card,,2024-05-01,2024-05,1,Wednesday
2024-05-01,Transport,454,Ola - Purchase,Card,,2024-05-01,2024-05,1,Wednesday
2024-05-01,Food & Dining,182,Coffee - Expense,Card,,2024-05-01,2024-05,1,Wednesday
2024-05-02,Food & Dining,556,Snacks - Expense,UPI,,2024-05-02,2024-05,2,Thursday
2024-05-02,Transport,176,Bus,Cash,Urgent purchase,2024-05-02,2024-05,2,Thursday
2024-05-03,Shopping,6418,Shoes,UPI,,2024-05-03,2024-05,3,Friday
2024-05-03,Groceries,2562,Fruits,UPI,,2024-05-03,2024-05,3,Friday
2024-05-03,Shopping,3178,Accessories,Card,,2024-05-03,2024-05,3,Friday
2024-05-03,Shopping,3810,Shoes,Card,,2024-05-03,2024-05,3,Friday
2024-05-04,Food & Dining,276,Lunch,Card,,2024-05-04,2024-05,4,Saturday
2024-05-05,Food & Dining,465,Snacks - Purchase,Cash,,2024-05-05,2024-05,5,Sunday
2024-05-06,Food & Dining,565,Restaurant,UPI,Monthly expense,2024-05-06,2024-05,6,Monday
2024-05-06,Bills & Utilities,2934,Mobile Recharge,Card,,2024-05-06,2024-05,6,Monday
2024-05-07,Education,4471,School Fee - Bill,UPI,,2024-05-07,2024-05,7,Tuesday
2024-05-07,Entertainment,1753,Movie - Purchase,Card,Urgent purchase,2024-05-07,2024-05,7,Tuesday
2024-05-08,Shopping,3788,Amazon,Cash,,2024-05-08,2024-05,8,Wednesday
2024-05-08,Entertainment,154,Game,Card,Monthly expense,2024-05-08,2024-05,8,Wednesday
2024-05-09,Entertainment,1179,OTT Subscription,UPI,,2024-05-09,2024-05,9,Thursday
2024-05-09,Food & Dining,105,Coffee,UPI,,2024-05-09,2024-05,9,Thursday
2024-05-10,Shopping,6352,Amazon,Net Banking,,2024-05-10,2024-05,10,Friday
2024-05-10,Bills & Utilities,1645,Water,Card,,2024-05-10,2024-05,10,Friday
2024-05-11,Food & Dining,363,Dinner,UPI,,2024-05-11,2024-05,11,Saturday
2024-05-12,Bills & Utilities,5454,Gas Bill,Cash,,2024-05-12,2024-05,12,Sunday
2024-05-12,Groceries,1380,Weekly shopping - Expense,Net Banking,,2024-05-12,2024-05,12,Sunday
2024-05-12,Groceries,4590,Vegetables,Card,,2024-05-12,2024-05,12,Sunday
2024-05-13,Bills & Utilities,4890,Water,Cash,,2024-05-13,2024-05,13,Monday
2024-05-14,Food & Dining,103,Restaurant,Card,,2024-05-14,2024-05,14,Tuesday
2024-05-15,Bills & Utilities,4420,Water - Bill,Card,,2024-05-15,2024-05,15,Wednesday
2024-05-15,Shopping,3917,Flipkart,Cash,,2024-05-15,2024-05,15,Wednesday
2024-05-15,Healthcare,1123,Gym - Payment,UPI,,2024-05-15,2024-05,15,Wednesday
2024-05-16,Education,2156,Tuition,UPI,Monthly expense,2024-05-16,2024-05,16,Thursday
2024-05-16,Food & Dining,605,Snacks,Card,,2024-05-16,2024-05,16,Thursday
2024-05-16,Groceries,1971,Supermarket - Bill,Card,,2024-05-16,2024-05,16,Thursday
2024-05-16,Groceries,247,Groceries,Cash,,2024-05-16,2024-05,16,Thursday
2024-05-17,Bills & Utilities,4774,Water,UPI,,2024-05-17,2024-05,17,Friday
2024-05-18,Transport,204,Metro,Card,Urgent purchase,2024-05-18,2024-05,18,Saturday
2024-05-18,Food & Dining,754,Lunch - Payment,Cash,,2024-05-18,2024-05,18,Saturday
2024-05-19,Groceries,2569,Groceries,Net Banking,Weekly expense,2024-05-19,2024-05,19,Sunday
2024-05-19,Groceries,3799,Weekly shopping,UPI,,2024-05-19,2024-05,19,Sunday
2024-05-21,Food & Dining,441,Lunch - Payment,Card,Urgent purchase,2024-05-21,2024-05,21,Tuesday
2024-05-22,Transport,439,Taxi,Net Banking,,2024-05-22,2024-05,22,Wednesday
2024-05-22,Food & Dining,91,Takeout - Expense,UPI,,2024-05-22,2024-05,22,Wednesday
2024-05-22,Food & Dining,500,Coffee,Cash,,2024-05-22,2024-05,22,Wednesday
2024-05-22,Entertainment,1500,Concert,UPI,Planned expense,2024-05-22,2024-05,22,Wednesday
2024-05-22,Entertainment,360,Concert,Card,,2024-05-22,2024-05,22,Wednesday
2024-05-22,Bills & Utilities,995,Internet,Card,,2024-05-22,2024-05,22,Wednesday
2024-05-22,Shopping,833,Accessories,UPI,,2024-05-22,2024-05,22,Wednesday
2024-05-23,Entertainment,494,Movie,Cash,,2024-05-23,2024-05,23,Thursday
2024-05-23,Shopping,2778,Amazon,UPI,Planned expense,2024-05-23,2024-05,23,Thursday
2024-05-23,Food & Dining,736,Takeout - Expense,Card,,2024-05-23,2024-05,23,Thursday
2024-05-24,Bills & Utilities,2008,Water - Expense,Card,,2024-05-24,2024-05,24,Friday
2024-05-25,Bills & Utilities,5497,Electricity - Bill,Cash,Urgent purchase,2024-05-25,2024-05,25,Saturday
2024-05-25,Bills & Utilities,5983,Gas Bill - Payment,UPI,Urgent purchase,2024-05-25,2024-05,25,Saturday
2024-05-25,Food & Dining,117,Restaurant - Payment,UPI,Urgent purchase,2024-05-25,2024-05,25,Saturday
2024-05-25,Food & Dining,1027,Dinner,Card,,2024-05-25,2024-05,25,Saturday
2024-05-25,Food & Dining,673,Restaurant - Payment,Cash,Planned expense,2024-05-25,2024-05,25,Saturday
2024-05-26,Food & Dining,878,Cafe,Card,,2024-05-26,2024-05,26,Sunday
2024-05-27,Bills & Utilities,3996,Internet,UPI,,2024-05-27,2024-05,27,Monday
2024-05-27,Bills & Utilities,3746,Mobile Recharge,Card,,2024-05-27,2024-05,27,Monday
2024-05-28,Entertainment,534,Netflix,Cash,,2024-05-28,2024-05,28,Tuesday
2024-05-28,Transport,231,Ola,Card,,2024-05-28,2024-05,28,Tuesday
2024-05-29,Food & Dining,737,Restaurant,Card,,2024-05-29,2024-05,29,Wednesday
2024-05-29,Healthcare,1281,Health Checkup,Cash,,2024-05-29,2024-05,29,Wednesday
2024-05-30,Food & Dining,764,Restaurant,Card,,2024-05-30,2024-05,30,Thursday
2024-05-30,Food & Dining,482,Cafe - Expense,UPI,,2024-05-30,2024-05,30,Thursday
